City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bluff,-46.6,168.33,39.0,83,88,3.0,NZ,1595528386
Akdepe,42.06,59.38,78.8,57,27,6.93,TM,1595528386
San Quintín,30.48,-115.95,69.48,63,47,12.59,MX,1595528386
Upernavik,72.79,-56.15,46.33,74,82,11.45,GL,1595528386
Punta Arenas,-53.15,-70.92,39.2,80,40,13.87,CL,1595528327
Castro,-24.79,-50.01,73.87,46,20,6.44,BR,1595528386
Bethel,41.37,-73.41,84.99,66,20,10.29,US,1595528262
Lompoc,34.64,-120.46,66.0,77,65,3.36,US,1595528201
Egvekinot,66.32,-179.17,55.65,63,63,4.0,RU,1595528386
Kruisfontein,-34.0,24.73,55.99,64,0,2.75,ZA,1595528387
Ghoti,19.72,73.62,74.35,90,100,3.71,IN,1595528387
Pevek,69.7,170.31,48.61,72,4,7.56,RU,1595528387
Derzhavīnsk,51.1,66.32,72.54,52,38,4.05,KZ,1595528387
Mataura,-46.19,168.86,39.0,83,88,3.0,NZ,1595528387
Bambous Virieux,-20.34,57.76,69.01,60,75,18.34,MU,1595528387
Port Lincoln,-34.73,135.87,51.58,53,33,15.52,AU,1595528387
Cherskiy,68.75,161.3,62.06,67,35,8.52,RU,1595528388
Provideniya,64.38,-173.3,51.1,61,52,7.38,RU,1595528388
Palu,-0.89,119.87,74.55,81,43,2.46,ID,1595528388
Monrovia,6.3,-10.8,76.53,86,98,13.96,LR,1595528388
Rafai,4.95,23.92,70.16,95,70,2.51,CF,1595528389
Saldanha,-33.01,17.94,64.4,59,0,2.24,ZA,1595528389
Nikolskoye,59.7,30.79,59.0,62,40,6.71,RU,1595528389
Dolores,-36.31,-57.68,58.32,88,100,9.93,AR,1595528244
Ancud,-41.87,-73.82,46.4,62,0,8.05,CL,1595528389
Martapura,-3.42,114.85,77.0,100,75,1.12,ID,1595528389
Xiaoweizhai,26.19,107.51,70.36,93,56,6.04,CN,1595528389
Ushuaia,-54.8,-68.3,41.0,60,75,11.41,AR,1595528309
Half Moon Bay,37.46,-122.43,69.01,68,40,3.36,US,1595528249
Nabire,-3.37,135.48,75.54,86,11,4.18,ID,1595528390
Saint-Augustin,51.23,-58.65,73.76,39,91,16.64,CA,1595528390
Broken Hill,-31.95,141.43,37.4,86,1,5.82,AU,1595528390
Svetlaya,46.54,138.33,57.6,90,90,7.49,RU,1595528390
Byron Bay,-28.65,153.62,59.0,93,90,6.93,AU,1595528390
Nanortalik,60.14,-45.24,47.64,92,100,5.12,GL,1595528390
Gouyave,12.16,-61.73,86.0,66,20,20.8,GD,1595528390
Khatanga,71.97,102.5,42.12,86,100,18.25,RU,1595528390
Lao Cai,22.48,103.95,77.02,82,75,1.34,VN,1595528390
Paypay,11.22,123.98,82.78,77,100,8.25,PH,1595528391
Vila Franca do Campo,37.72,-25.43,69.8,64,40,6.93,PT,1595528391
Albany,42.6,-73.97,82.0,86,69,5.19,US,1595528129
Te Anau,-45.42,167.72,34.5,88,48,4.23,NZ,1595528391
Koster,-25.86,26.9,46.06,48,0,2.21,ZA,1595528391
Butaritari,3.07,172.79,82.29,79,1,14.0,KI,1595528391
Cape Town,-33.93,18.42,59.0,93,0,2.24,ZA,1595528392
Olafsvik,64.89,-23.71,49.24,67,2,18.45,IS,1595528392
Busselton,-33.65,115.33,45.0,73,4,3.27,AU,1595528392
Oranjestad,12.52,-70.03,87.8,66,75,19.46,AW,1595528169
Lebu,-37.62,-73.65,49.19,61,54,3.44,CL,1595528392
Vaini,-21.2,-175.2,68.0,100,75,13.6,TO,1595528392
Mahébourg,-20.41,57.7,68.0,60,75,18.34,MU,1595528392
Kimbe,-5.55,150.14,75.65,88,61,5.08,PG,1595528393
Rikitea,-23.12,-134.97,66.99,64,2,18.21,PF,1595528393
Atuona,-9.8,-139.03,78.4,74,6,20.36,PF,1595528393
Imbituba,-28.24,-48.67,80.6,42,67,11.41,BR,1595528215
East London,-33.02,27.91,65.8,52,0,9.37,ZA,1595528311
Ixtapa,20.7,-105.2,89.01,74,40,8.05,MX,1595528393
Zhigansk,66.77,123.37,57.33,81,52,9.82,RU,1595528394
Hermanus,-34.42,19.23,59.0,87,0,5.99,ZA,1595528394
Tuatapere,-46.13,167.68,39.0,83,91,3.0,NZ,1595528394
Tuktoyaktuk,69.45,-133.04,53.6,62,75,11.41,CA,1595528394
San Vicente,-26.62,-54.13,78.93,39,67,6.62,AR,1595528394
Chinavita,5.17,-73.37,71.83,60,53,6.02,CO,1595528394
Fortuna,40.6,-124.16,62.01,93,90,5.82,US,1595528394
Geraldton,-28.77,114.6,44.6,93,0,5.82,AU,1595528395
Hobart,-42.88,147.33,41.0,75,97,6.93,AU,1595528258
Barrow,71.29,-156.79,46.4,93,90,17.22,US,1595528289
Torbay,47.67,-52.73,75.2,47,75,18.34,CA,1595528395
San Juan del Sur,11.25,-85.87,87.8,66,75,4.7,NI,1595528395
Avarua,-21.21,-159.78,73.4,100,2,4.7,CK,1595528276
Kavieng,-2.57,150.8,82.76,76,46,9.86,PG,1595528396
Grindavik,63.84,-22.43,55.4,62,20,18.34,IS,1595528396
Saint George,37.1,-113.58,93.2,21,1,1.25,US,1595528396
Qaanaaq,77.48,-69.36,49.03,51,0,2.01,GL,1595528396
Lagoa,39.05,-27.98,69.85,69,0,2.73,PT,1595528396
Yellowknife,62.46,-114.35,62.6,82,75,8.05,CA,1595528396
Alekseyevka,50.63,38.69,60.28,74,19,5.55,RU,1595528397
Mayuge,0.46,33.48,66.24,74,8,2.62,UG,1595528397
Padang,-0.95,100.35,78.13,78,100,5.08,ID,1595528397
Norman Wells,65.28,-126.83,57.2,82,75,4.7,CA,1595528397
Longyearbyen,78.22,15.64,48.2,81,90,8.05,SJ,1595528397
Praia da Vitória,38.73,-27.07,75.2,69,20,5.48,PT,1595528398
Caravelas,-17.71,-39.25,75.97,66,29,7.45,BR,1595528398
Vanimo,-2.67,141.3,77.81,85,40,5.5,PG,1595528398
Mogocha,53.73,119.77,63.45,96,100,3.78,RU,1595528398
San Jerónimo,-11.95,-75.28,62.67,31,21,2.93,PE,1595528398
Havelock,34.88,-76.9,91.99,67,24,7.0,US,1595528398
Awjilah,29.11,21.29,85.37,34,0,22.46,LY,1595528398
Harper,4.38,-7.72,76.93,82,65,10.94,LR,1595528398
Hilo,19.73,-155.09,73.4,88,90,4.7,US,1595528399
Puerto Ayora,-0.74,-90.35,78.8,65,20,23.04,EC,1595528399
Jiexiu,37.02,111.91,70.41,54,55,2.44,CN,1595528399
Thompson,55.74,-97.86,71.6,78,75,5.82,CA,1595528399
Cidreira,-30.18,-50.21,69.84,72,99,8.66,BR,1595528399
Westport,41.14,-73.36,88.0,74,1,13.87,US,1595528399
Port Alfred,-33.59,26.89,63.82,48,0,8.48,ZA,1595528400
Saint Paul Harbor,57.79,-152.41,57.2,71,1,4.7,US,1595528328
George Town,5.41,100.34,80.6,88,20,2.24,MY,1595528253
Guerrero Negro,27.98,-114.06,72.43,60,81,13.29,MX,1595528400
Iralaya,15.0,-83.23,86.0,79,75,8.05,HN,1595528401
Homer,59.64,-151.55,57.2,82,1,4.7,US,1595528401
Igurusi,-8.85,33.85,59.29,61,2,6.33,TZ,1595528401
Andenes,69.31,16.12,50.0,93,75,18.34,NO,1595528401
Sabla,12.75,4.71,85.48,58,27,8.34,NG,1595528402
Tokur,53.13,132.9,48.0,95,67,3.27,RU,1595528402
Mendoza,-32.89,-68.83,46.4,52,40,5.82,AR,1595528402
Lorengau,-2.02,147.27,82.33,78,49,8.68,PG,1595528402
Ponta do Sol,32.67,-17.1,71.01,66,0,1.03,PT,1595528402
Tiksi,71.69,128.87,58.71,83,89,9.69,RU,1595528402
Malakal,9.53,31.66,73.33,90,100,2.35,SS,1595528403
Assiut,27.18,31.18,89.6,40,28,11.41,EG,1595528403
Shebalino,51.29,85.68,56.19,82,68,0.6,RU,1595528403
Jamestown,42.1,-79.24,80.01,78,75,13.87,US,1595528381
Kapaa,22.08,-159.32,80.6,78,40,11.41,US,1595528403
Koungou,-12.73,45.2,77.0,61,35,14.99,YT,1595528403
Saint Anthony,45.02,-93.22,75.99,60,75,9.17,US,1595528403
Havre-St-Pierre,50.23,-63.6,73.4,49,1,9.17,CA,1595528404
Pisco,-13.7,-76.22,69.01,68,5,6.93,PE,1595528404
Ribeira Grande,38.52,-28.7,73.4,69,40,5.82,PT,1595528404
Iqaluit,63.75,-68.51,48.2,81,75,3.36,CA,1595528404
Takapau,-40.03,176.35,46.0,82,28,11.01,NZ,1595528404
Moose Factory,51.26,-80.61,77.0,53,1,5.82,CA,1595528404
Villa Zempoala,19.45,-96.42,91.99,52,20,7.29,MX,1595528404
Bredasdorp,-34.53,20.04,55.4,93,0,4.7,ZA,1595528404
Tilichiki,60.47,166.1,47.93,89,0,3.15,RU,1595528405
Meulaboh,4.14,96.13,75.24,91,100,4.25,ID,1595528405
Abu Kamal,34.45,40.92,97.12,12,0,9.57,SY,1595528405
Phuket,8.0,98.25,84.99,88,20,3.36,TH,1595528271
Birao,10.28,22.79,72.07,88,98,3.09,CF,1595528405
Hasaki,35.73,140.83,71.6,100,75,1.12,JP,1595528405
Oranjemund,-28.55,16.43,73.63,20,0,9.31,NA,1595528406
Yamada,39.47,141.95,65.26,91,91,2.93,JP,1595528406
Hay River,60.82,-115.8,60.8,77,75,12.75,CA,1595528406
Fairbanks,64.84,-147.72,55.4,87,90,4.7,US,1595528406
Haines Junction,60.75,-137.51,53.53,78,100,3.15,CA,1595528406
Berdigestyakh,62.1,126.7,60.13,78,45,6.02,RU,1595528406
Eunice,30.49,-92.42,90.0,62,75,10.29,US,1595528406
Mar del Plata,-38.0,-57.56,55.99,100,90,8.05,AR,1595528136
Tocopilla,-22.09,-70.2,64.35,47,3,8.12,CL,1595528407
Ciudad Bolivar,8.12,-63.55,87.21,62,76,6.85,VE,1595528407
Rawson,-43.3,-65.1,39.6,80,100,11.88,AR,1595528407
Orlik,52.52,99.83,52.21,64,40,1.01,RU,1595528407
Tura,25.52,90.22,75.18,97,100,5.5,IN,1595528170
Manaure,11.78,-72.44,90.61,49,92,16.96,CO,1595528407
La Santisima Trinidad,-14.83,-64.9,89.6,52,20,8.05,BO,1595528407
Ubinskoye,55.31,79.68,50.27,85,0,3.04,RU,1595528407
Port Elizabeth,-33.92,25.57,57.2,82,0,3.36,ZA,1595528408
Udachny,66.42,112.4,50.0,87,75,4.47,RU,1595528408
Taltal,-25.4,-70.48,58.69,50,0,6.73,CL,1595528408
Halifax,44.65,-63.57,68.0,94,90,4.7,CA,1595528346
Dzaoudzi,-12.79,45.27,77.0,61,36,14.99,YT,1595528408
Morgan City,29.7,-91.21,87.8,79,75,12.75,US,1595528408
Atar,20.52,-13.05,107.15,17,1,16.93,MR,1595528408
Arraial do Cabo,-22.97,-42.03,82.4,61,50,18.34,BR,1595528408
Alta Floresta,-9.88,-56.09,95.0,32,40,3.36,BR,1595528408
Port Hardy,50.7,-127.42,59.0,82,75,9.17,CA,1595528125
Saint-Pierre,-21.34,55.48,66.2,63,20,14.99,RE,1595528409
Puerto del Rosario,28.5,-13.86,77.0,78,20,19.46,ES,1595528271
Chicama,-7.84,-79.15,72.81,55,23,12.3,PE,1595528225
Maţāy,28.42,30.78,90.79,22,6,7.27,EG,1595528409
Bengkulu,-3.8,102.27,75.83,89,99,4.56,ID,1595528193
Salme,28.04,85.09,69.8,100,75,4.7,NP,1595528409
Grand-Santi,4.25,-54.38,86.22,71,68,4.47,GF,1595528409
Lüderitz,-26.65,15.16,69.8,46,0,2.24,NA,1595528409
Saskylakh,71.92,114.08,48.52,95,96,6.04,RU,1595528409
Cabo San Lucas,22.89,-109.91,90.0,65,5,17.22,MX,1595528268
Matara,5.95,80.54,78.57,86,98,6.2,LK,1595528410
La Ronge,55.1,-105.28,71.6,88,75,6.93,CA,1595528410
Faya,18.39,42.45,73.4,83,20,5.82,SA,1595528410
Ponta Delgada,37.73,-25.67,69.8,64,40,6.93,PT,1595528410
Carnarvon,-24.87,113.63,60.8,87,0,10.29,AU,1595528410
Korla,41.76,86.15,80.01,68,26,5.01,CN,1595528410
Palmer,42.16,-72.33,87.01,70,75,13.87,US,1595528410
Cairns,-16.92,145.77,68.0,77,75,6.93,AU,1595528411
Beringovskiy,63.05,179.32,48.27,80,73,5.23,RU,1595528411
Chimoio,-19.12,33.48,62.6,72,75,3.89,MZ,1595528411
General Pico,-35.66,-63.76,45.19,84,100,18.61,AR,1595528411
Kahului,20.89,-156.47,82.4,51,20,10.29,US,1595528159
Kiruna,67.86,20.23,48.2,93,100,12.75,SE,1595528411
Mae Sai,20.43,99.88,78.01,100,54,1.77,TH,1595528411
Kulhudhuffushi,6.62,73.07,81.75,81,100,15.03,MV,1595528411
Mitú,1.2,-70.17,81.1,88,12,2.86,CO,1595528411
Ayagoz,47.97,80.44,65.55,38,0,6.98,KZ,1595528412
Tasiilaq,65.61,-37.64,39.2,86,75,10.29,GL,1595528412
Vitim,59.45,112.56,57.92,92,78,4.54,RU,1595528412
New Norfolk,-42.78,147.06,39.99,85,99,2.68,AU,1595528412
Bay Roberts,47.6,-53.26,75.99,54,80,11.25,CA,1595528412
Kaitangata,-46.28,169.85,39.99,73,62,8.01,NZ,1595528412
Honningsvåg,70.98,25.97,50.0,93,90,2.24,NO,1595528412
Tiszaföldvár,46.98,20.25,77.0,64,20,4.36,HU,1595528413
Aksarka,66.56,67.8,51.01,70,43,5.55,RU,1595528413
Vao,-22.67,167.48,68.94,78,4,17.96,NC,1595528413
Severo-Kuril'sk,50.68,156.12,49.48,92,99,3.85,RU,1595528413
Bonavista,48.65,-53.11,65.39,63,26,6.11,CA,1595528413
Kita,13.03,-9.49,83.26,77,87,1.39,ML,1595528413
Dikson,73.51,80.55,41.27,87,18,7.61,RU,1595528414
Chaparral,3.72,-75.48,84.9,51,48,3.15,CO,1595528414
Pilar,-9.6,-35.96,80.6,65,40,11.41,BR,1595528414
Hithadhoo,-0.6,73.08,83.44,69,100,4.23,MV,1595528414
Aksu,41.12,80.26,78.4,26,26,4.83,CN,1595528414
Bonoua,5.27,-3.6,78.8,88,20,8.05,CI,1595528414
Pizarro,4.95,-77.37,79.59,86,71,10.49,CO,1595528414
Prince Rupert,54.32,-130.32,53.6,100,90,5.82,CA,1595528414
Clyde River,70.47,-68.59,48.2,61,75,8.05,CA,1595528414
Port-Gentil,-0.72,8.78,78.8,78,20,13.73,GA,1595528415
Santa Cruz del Norte,23.15,-81.92,87.8,66,75,4.7,CU,1595528415
Launceston,-41.45,147.17,36.0,100,40,1.12,AU,1595528415
Laas,46.62,10.7,68.0,49,40,6.93,IT,1595528415
Broome,42.25,-75.83,80.6,61,90,4.7,US,1595528415
Andros,37.83,24.93,84.0,37,0,20.8,GR,1595528415
Urucará,-2.54,-57.76,91.49,46,49,4.23,BR,1595528416
Pascagoula,30.37,-88.56,87.01,70,40,10.29,US,1595528233
Ca Mau,9.18,105.15,79.14,85,100,1.5,VN,1595528416
Smolenka,52.14,113.5,62.6,100,100,4.47,RU,1595528416
Esperance,-33.87,121.9,46.4,87,40,9.17,AU,1595528416
Chui,-33.7,-53.46,68.52,91,100,6.87,UY,1595528416
Canoinhas,-26.18,-50.39,76.05,43,65,3.31,BR,1595528416
Willowmore,-33.29,23.49,55.74,35,0,2.01,ZA,1595528416
Tucuruí,-3.77,-49.67,91.18,41,77,4.23,BR,1595528416
La Asuncion,11.03,-63.86,83.62,70,96,15.79,VE,1595528416
Narsaq,60.92,-46.05,64.4,39,75,13.87,GL,1595528417
Helong,42.54,129.0,61.2,90,100,2.1,CN,1595528417
Eslāmshahr,35.56,51.23,93.2,15,40,9.17,IR,1595528417
Anapskaya,44.89,37.38,68.0,49,0,8.95,RU,1595528417
Lufilufi,-13.87,-171.6,75.2,94,75,6.93,WS,1595528417
Merrill,45.18,-89.68,66.2,82,90,3.67,US,1595528327
Talcahuano,-36.72,-73.12,55.4,54,63,4.7,CL,1595528418
Shingū,33.73,135.98,75.81,82,100,1.99,JP,1595528418
Linxia Chengguanzhen,35.6,103.21,61.88,89,100,2.19,CN,1595528418
Mazamari,-11.33,-74.53,85.24,48,32,3.6,PE,1595528418
Chokurdakh,70.63,147.92,64.45,69,46,5.95,RU,1595528418
Soure,-0.72,-48.52,85.73,66,16,8.63,BR,1595528418
Vestmannaeyjar,63.44,-20.27,51.8,87,75,6.93,IS,1595528418
Naze,28.37,129.48,82.4,83,20,8.05,JP,1595528419
Suntar,62.14,117.63,57.52,85,32,1.99,RU,1595528419
Saint-Philippe,-21.36,55.77,66.2,63,20,14.99,RE,1595528419
Souillac,-20.52,57.52,68.0,60,75,18.34,MU,1595528419
Bon Accord,53.83,-113.42,69.01,82,75,2.24,CA,1595528419
Ürümqi,43.8,87.6,71.6,64,75,8.95,CN,1595528419
Ostrovnoy,68.05,39.51,65.73,76,38,10.07,RU,1595528419
Goundi,9.36,17.37,72.48,92,98,3.56,TD,1595528419
Kavaratti,10.57,72.64,82.47,77,100,4.99,IN,1595528420
Orotukan,62.27,151.7,61.36,54,92,6.08,RU,1595528420
Farafangana,-22.82,47.83,65.5,81,88,14.14,MG,1595528420
Siocon,7.71,122.14,76.93,88,100,4.43,PH,1595528420
Quimper,48.0,-4.1,66.2,68,31,12.75,FR,1595528420
Oddur,4.12,43.89,76.89,54,92,21.39,SO,1595528420
Kidal,18.44,1.41,102.11,19,39,2.51,ML,1595528420
Jiayuguan City,39.82,98.3,72.68,40,97,4.34,CN,1595528421
Ilulissat,69.22,-51.1,53.6,46,75,3.36,GL,1595528421
Mayor Pablo Lagerenza,-19.93,-60.77,91.15,25,13,6.51,PY,1595528421
Maningrida,-12.07,134.27,65.44,89,6,7.67,AU,1595528421
Dubréka,9.79,-13.52,80.6,94,75,11.41,GN,1595528421
Acapulco de Juárez,16.86,-99.89,87.8,70,40,8.05,MX,1595528421
Yenagoa,4.92,6.26,75.25,91,96,4.29,NG,1595528421
Labuhan,-6.88,112.21,76.71,83,92,6.96,ID,1595528421
Kayes,14.0,-11.0,93.2,59,40,4.7,ML,1595528422
Flinders,-34.58,150.86,48.99,86,87,1.01,AU,1595528422
Mudgee,-32.59,149.59,32.0,89,0,4.25,AU,1595528422
Guarujá,-23.99,-46.26,77.0,69,20,6.93,BR,1595528422
Sobolevo,54.43,31.9,53.76,85,4,6.08,RU,1595528422
Chifeng,42.27,118.96,72.0,54,11,1.68,CN,1595528422
Bubaque,11.28,-15.83,81.0,83,100,14.18,GW,1595528423
Båtsfjord,70.63,29.72,55.4,100,90,2.24,NO,1595528423
Berlevåg,70.86,29.09,50.0,100,90,2.24,NO,1595528423
Tangzhai,34.43,116.59,71.02,84,99,2.77,CN,1595528423
Ossora,59.24,163.07,53.98,78,0,4.25,RU,1595528423
Porto-Novo,6.5,2.6,80.6,83,20,13.87,BJ,1595528423
Ipoti,7.87,5.08,71.01,97,96,6.06,NG,1595528423
Dwārka,22.24,68.97,84.76,80,52,14.9,IN,1595528423
Mvangué,2.97,11.52,69.17,97,67,3.29,CM,1595528423
Olinda,-8.01,-34.86,82.4,61,40,13.87,BR,1595528247
Tete,-16.16,33.59,66.9,58,43,7.58,MZ,1595528424
Salalah,17.02,54.09,80.6,88,40,8.05,OM,1595528424
Biswān,27.5,81.0,83.14,73,21,13.02,IN,1595528424
