City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Coquimbo,-29.95,-71.34,57.2,58,12,12.75,CL,1595528424
Chu,43.6,73.76,82.99,68,81,3.0,KZ,1595528424
Viedma,-40.81,-63.0,45.0,93,100,8.99,AR,1595528303
Faanui,-16.48,-151.75,77.67,79,6,17.29,PF,1595528424
Araouane,18.9,-3.53,108.77,14,14,5.68,ML,1595528424
Mareeba,-17.0,145.43,68.0,77,75,6.93,AU,1595528424
Comodoro Rivadavia,-45.87,-67.5,41.0,65,0,5.82,AR,1595528280
San Policarpo,12.18,125.51,83.1,76,88,4.63,PH,1595528425
Husavik,66.04,-17.34,48.2,70,75,16.11,IS,1595528425
Hong Kong,22.29,114.16,84.0,79,26,3.0,HK,1595528317
Leningradskiy,69.38,178.42,45.61,72,96,13.85,RU,1595528425
Zuya,45.05,34.32,66.63,51,1,5.95,UA,1595528425
Elizabeth City,36.29,-76.25,98.01,59,1,12.75,US,1595528425
Katsuura,35.13,140.3,73.0,92,100,1.74,JP,1595528425
Aykhal,66.0,111.5,50.0,87,75,4.47,RU,1595528425
Bathsheba,13.22,-59.52,87.8,58,40,17.22,BB,1595528426
Kloulklubed,7.04,134.26,77.0,88,40,4.7,PW,1595528426
Malanje,-9.54,16.34,69.75,24,0,0.36,AO,1595528426
Christchurch,-43.53,172.63,28.99,86,1,1.12,NZ,1595528128
Worland,44.02,-107.96,84.99,28,20,2.28,US,1595528427
Alice Springs,-23.7,133.88,39.2,69,0,4.7,AU,1595528427
Maniitsoq,65.42,-52.9,47.57,84,100,8.48,GL,1595528427
Contai,21.78,87.75,82.35,85,100,9.26,IN,1595528427
Fort-Shevchenko,44.51,50.26,80.89,57,0,7.31,KZ,1595528427
Hegra,63.46,11.11,54.0,76,75,17.22,NO,1595528427
Lavrentiya,65.58,-171.0,54.07,55,100,10.16,RU,1595528428
Mount Isa,-20.73,139.5,50.0,57,0,11.56,AU,1595528428
Tucumcari,35.17,-103.72,91.4,36,40,14.99,US,1595528428
Tiarei,-17.53,-149.33,75.2,73,40,3.36,PF,1595528428
Talaya,61.38,152.75,56.62,74,89,2.48,RU,1595528429
Livingstone,-17.84,25.85,57.11,49,7,4.03,ZM,1595528429
Fort Nelson,58.81,-122.7,59.0,82,90,1.39,CA,1595528429
Wawa,9.9,4.42,78.35,86,99,3.13,NG,1595528429
Harrisburg,40.27,-76.88,87.8,58,75,5.82,US,1595528429
Kununurra,-15.77,128.73,55.4,37,0,3.36,AU,1595528429
Karratha,-20.74,116.85,68.56,54,0,4.54,AU,1595528429
Sioux Lookout,50.1,-91.92,78.8,44,20,4.7,CA,1595528429
Upornaya,44.39,41.02,65.21,73,58,2.98,RU,1595528430
Savannah Bight,16.45,-85.85,84.11,72,95,10.47,HN,1595528430
São João da Barra,-21.64,-41.05,82.4,48,17,11.41,BR,1595528430
Carupano,10.67,-63.26,85.26,64,87,12.66,VE,1595528285
Yumen,40.28,97.2,75.22,36,98,3.47,CN,1595528430
Road Town,18.42,-64.62,86.0,74,40,10.29,VG,1595528194
Nushki,29.55,66.02,88.74,18,0,9.37,PK,1595528377
Kushima,31.46,131.23,77.0,100,99,3.0,JP,1595528430
Kyshtovka,56.55,76.63,51.3,81,25,2.68,RU,1595528430
Xingyi,24.19,102.82,61.05,96,88,3.24,CN,1595528431
Namatanai,-3.67,152.43,79.5,83,39,6.22,PG,1595528431
Mbarara,-0.61,30.65,72.59,48,64,1.79,UG,1595528431
Nyagan,62.14,65.39,57.54,64,47,2.64,RU,1595528431
Kuybyshevo,47.81,38.91,67.01,45,31,5.97,RU,1595528431
Ust'-Ordynskiy,52.8,104.75,57.2,100,5,4.47,RU,1595528431
Anloga,5.79,0.9,78.8,78,20,13.87,GH,1595528431
Rosa Zarate,0.33,-79.47,82.24,68,85,4.54,EC,1595528431
Cap Malheureux,-19.98,57.61,69.01,60,53,8.99,MU,1595528431
Hamilton,39.18,-84.53,84.0,69,75,9.17,US,1595528133
Newark,40.74,-74.17,89.01,70,75,10.29,US,1595528140
Huanren,41.26,125.37,65.98,88,100,1.48,CN,1595528432
Nome,64.5,-165.41,48.2,81,90,10.29,US,1595528432
Gazalkent,41.56,69.77,87.8,31,46,18.34,UZ,1595528432
Kathu,7.92,98.33,84.99,88,20,3.36,TH,1595528432
Richards Bay,-28.78,32.04,63.41,71,0,9.24,ZA,1595528404
Aleksandrov Gay,50.15,48.57,72.97,44,28,13.33,RU,1595528432
Seoul,37.57,126.98,69.8,73,90,4.7,KR,1595528432
Solnechnyy,50.72,136.63,57.25,92,79,5.44,RU,1595528432
Sandakan,5.84,118.12,77.0,100,20,3.36,MY,1595528433
Progreso,21.28,-89.67,95.0,55,75,5.82,MX,1595528433
Assaré,-6.87,-39.88,91.0,27,92,8.01,BR,1595528433
Airai,-8.93,125.41,52.74,71,87,2.51,TL,1595528433
Ginir,7.13,40.7,58.77,93,27,5.28,ET,1595528433
Lata,40.16,-8.33,81.0,66,0,5.01,PT,1595528433
Çerkezköy,41.28,28.0,75.99,83,0,18.34,TR,1595528433
Camopi,3.17,-52.32,82.9,84,61,3.85,GF,1595528433
Russell,32.35,-85.2,91.4,55,75,9.17,US,1595528134
Jalu,29.03,21.55,86.79,31,0,21.34,LY,1595528434
Samarkand,39.65,66.96,86.0,28,12,6.93,UZ,1595528434
Ambilobe,-13.2,49.05,68.94,71,92,2.37,MG,1595528434
Ola,59.58,151.28,53.67,82,99,1.54,RU,1595528434
Baghdad,33.34,44.4,96.8,20,0,3.36,IQ,1595528434
Bhadrāchalam,17.67,80.88,75.97,92,100,0.89,IN,1595528434
Pangnirtung,66.15,-65.71,53.6,81,90,5.82,CA,1595528434
Tromsø,69.65,18.96,48.2,93,75,4.7,NO,1595528244
Waipawa,-41.41,175.52,45.0,80,7,3.36,NZ,1595528434
Gigmoto,13.78,124.39,81.61,79,28,3.09,PH,1595528434
Nemuro,43.32,145.57,59.07,98,100,10.51,JP,1595528435
Sitka,57.05,-135.33,55.4,87,90,6.93,US,1595528435
Solwezi,-12.17,26.39,57.94,44,44,4.23,ZM,1595528435
Rāhon,31.05,76.12,86.9,43,0,3.78,IN,1595528203
Hirara,24.8,125.28,85.01,77,84,13.71,JP,1595528340
Ha Giang,22.83,104.98,78.13,84,86,1.59,VN,1595528435
Tomatlán,19.93,-105.25,90.91,53,86,6.26,MX,1595528435
Haapiti,-17.57,-149.87,75.2,73,40,3.36,PF,1595528435
Lahān,26.73,86.5,80.87,80,78,5.84,NP,1595528435
Najrān,17.49,44.13,96.8,22,40,6.93,SA,1595528435
San Patricio,19.22,-104.7,86.0,79,75,9.17,MX,1595528393
Ukiah,39.15,-123.21,81.0,56,1,4.7,US,1595527639
Oyotún,-6.85,-79.3,71.6,60,6,20.8,PE,1595528436
Voloshka,61.33,40.09,57.61,95,95,4.09,RU,1595528345
Ahipara,-35.17,173.17,55.42,75,69,11.54,NZ,1595528436
Bambanglipuro,-7.95,110.28,74.3,86,98,8.23,ID,1595528436
Candolim,15.52,73.76,80.6,94,75,2.24,IN,1595528436
Gbarnga,7.0,-9.47,74.05,95,90,5.03,LR,1595528436
Poum,-20.23,164.02,71.38,80,5,18.41,NC,1595528436
Azuqueca de Henares,40.57,-3.26,93.99,30,20,3.36,ES,1595528436
Kiunga,-6.12,141.29,73.22,94,85,1.57,PG,1595528436
Basoko,1.24,23.62,76.84,77,95,0.78,CD,1595528437
Florence,43.77,11.25,86.0,55,20,11.41,IT,1595528143
Carutapera,-1.2,-46.02,85.08,66,46,10.0,BR,1595528437
Tahoua,14.89,5.27,86.0,58,40,13.87,NE,1595528437
San Cristobal,7.77,-72.22,89.6,40,75,20.8,VE,1595528437
Verkhnevilyuysk,63.45,120.32,59.14,82,26,2.84,RU,1595528437
Jardim,-21.48,-56.14,90.91,19,0,7.83,BR,1595528437
Hilpoltstein,49.19,11.19,77.0,33,53,6.93,DE,1595528437
North Potomac,39.08,-77.27,93.0,55,75,9.17,US,1595528437
Jining,35.41,116.58,71.22,81,100,5.06,CN,1595528438
Āsasa,7.1,39.2,54.09,84,37,4.32,ET,1595528438
Tessalit,20.2,1.01,103.32,16,59,6.33,ML,1595528438
Karlstad,59.38,13.5,66.0,36,36,5.82,SE,1595528438
Marysville,48.05,-122.18,63.0,77,90,6.93,US,1595528088
Zhangye,38.93,100.45,71.73,50,97,0.78,CN,1595528438
Inhambane,-23.86,35.38,64.4,82,40,11.97,MZ,1595528438
Verkhnetulomskiy,68.61,31.8,69.8,64,44,8.95,RU,1595528345
Adrar,20.5,-10.07,105.98,15,0,10.25,MR,1595528439
Vardø,70.37,31.11,55.4,87,75,14.99,NO,1595528439
Dunedin,-45.87,170.5,42.01,73,36,5.99,NZ,1595528439
São Félix do Xingu,-6.64,-51.99,94.6,31,20,5.3,BR,1595528439
‘Āhuimanu,21.44,-157.84,80.6,78,40,9.17,US,1595528439
Shimoda,34.67,138.95,68.0,95,100,6.11,JP,1595528439
Leh,34.17,77.58,62.58,26,0,4.68,IN,1595528439
Makat,47.65,53.35,84.22,26,28,8.37,KZ,1595528439
Bealanana,-14.55,48.73,56.53,86,97,10.18,MG,1595528439
Altay,47.87,88.12,62.38,52,100,4.97,CN,1595528440
Phonhong,18.5,102.42,77.41,83,53,2.75,LA,1595528440
Farsund,58.09,6.8,61.0,86,94,5.64,NO,1595528440
Kisangani,0.52,25.2,77.0,83,75,11.41,CD,1595528440
Oussouye,12.48,-16.55,87.8,79,40,9.17,SN,1595528440
Brae,60.4,-1.35,55.4,87,75,13.87,GB,1595528440
Kutum,14.2,24.67,83.95,40,85,6.58,SD,1595528440
Niterói,-22.88,-43.1,84.2,65,20,11.41,BR,1595528440
San Andrés,12.58,-81.7,87.8,70,75,13.87,CO,1595528267
Neiafu,-18.65,-173.98,73.4,88,20,18.07,TO,1595528440
Black River,18.03,-77.85,86.0,74,75,10.29,JM,1595528441
Darnah,32.77,22.64,77.67,77,0,21.9,LY,1595528441
Sur,22.57,59.53,86.02,67,89,19.13,OM,1595528441
Negreşti-Oaş,47.87,23.43,75.2,69,22,2.24,RO,1595528441
Muhos,64.81,25.99,55.99,100,90,3.36,FI,1595528441
Yulara,-25.24,130.99,39.2,64,0,5.82,AU,1595528441
Manggar,-2.88,108.27,80.33,82,100,11.14,ID,1595528441
Petropavlovka,50.61,105.32,57.02,78,51,2.93,RU,1595528441
Garoowe,8.41,48.48,82.24,43,47,13.02,SO,1595528441
Oława,50.95,17.29,69.01,100,28,3.06,PL,1595528441
Arrondissement de Cahors,44.42,1.33,86.0,48,80,10.29,FR,1595528442
Fuerte Olimpo,-21.04,-57.87,94.86,19,0,11.25,PY,1595528442
Laguna,38.42,-121.42,75.99,53,1,5.82,US,1595528442
Marsabit,2.33,37.99,71.67,55,96,13.2,KE,1595528442
Hidalgotitlán,17.78,-94.63,89.6,66,40,11.41,MX,1595528442
Peniche,39.36,-9.38,75.99,83,0,11.99,PT,1595528442
Callaguip,18.07,120.49,82.85,77,20,5.1,PH,1595528442
Isangel,-19.55,169.27,72.55,84,86,13.94,VU,1595528442
Mount Gambier,-37.83,140.77,37.4,86,76,6.93,AU,1595528443
Hofn,64.25,-15.21,55.4,66,75,8.05,IS,1595528443
Eureka,40.8,-124.16,63.0,77,90,6.93,US,1595528443
Penalva,-3.29,-45.17,90.07,39,12,4.52,BR,1595528443
Cravo Norte,6.3,-70.2,84.36,73,74,8.25,CO,1595528443
Aklavik,68.22,-135.01,55.4,58,75,10.29,CA,1595528443
Hervey Bay,-25.3,152.85,59.0,95,95,4.0,AU,1595528443
Aktash,50.3,87.73,42.39,93,16,1.86,RU,1595528443
Frontera,26.93,-101.45,93.99,58,40,8.46,MX,1595528335
Güstrow,53.8,12.17,68.0,42,75,5.82,DE,1595528443
Codrington,-38.27,141.97,38.62,88,91,8.1,AU,1595528444
Dalbandin,28.89,64.41,89.15,22,5,13.13,PK,1595528444
Qaqortoq,60.72,-46.03,64.4,39,75,13.87,GL,1595528444
Panama City,8.99,-79.52,87.8,74,40,5.82,PA,1595528444
Rio Grande,-32.03,-52.1,86.0,45,100,6.93,BR,1595528174
Asău,46.43,26.4,62.01,99,70,3.6,RO,1595528444
San-Pédro,4.75,-6.64,75.85,85,46,9.31,CI,1595528444
Esim,4.87,-2.24,76.6,82,97,9.22,GH,1595528444
Soyo,-6.13,12.37,72.7,80,4,8.88,AO,1595528444
Gravdal,68.12,13.5,50.0,93,75,11.41,NO,1595528445
Bandarbeyla,9.49,50.81,76.87,78,71,29.53,SO,1595528445
Pitimbu,-7.47,-34.81,82.4,65,40,17.22,BR,1595528445
San Jose,37.34,-121.89,73.99,56,20,3.36,US,1595528441
Talnakh,69.49,88.4,46.4,75,87,26.84,RU,1595528445
Sesimbra,38.44,-9.1,89.6,31,1,11.41,PT,1595528241
Saint-François,46.42,3.91,82.4,28,94,8.05,FR,1595528445
Rocha,-34.48,-54.33,73.63,79,84,9.13,UY,1595528445
Klaksvík,62.23,-6.59,53.6,81,33,3.36,FO,1595528445
Alice,27.75,-98.07,91.4,66,20,11.41,US,1595528445
Pombas,17.15,-25.02,84.2,66,40,13.87,CV,1595528445
Jászszentlászló,46.57,19.76,75.2,73,58,2.24,HU,1595528446
Dzhebariki-Khaya,62.22,135.8,55.04,77,44,1.32,RU,1595528446
Marabá,-5.37,-49.12,96.8,34,20,8.05,BR,1595528446
Oskemen,49.96,82.61,55.4,71,1,2.24,KZ,1595528446
Champerico,14.3,-91.92,87.8,66,40,6.93,GT,1595528446
Santa Maria,-29.68,-53.81,86.0,37,100,13.87,BR,1595528446
Coro,11.4,-69.67,88.66,54,96,19.51,VE,1595528446
Werda,-25.27,23.28,57.0,32,0,5.17,BW,1595528446
Zdvinsk,54.7,78.66,51.71,80,0,5.64,RU,1595528447
Zlobin,45.29,14.65,81.0,57,20,5.82,HR,1595528447
Maridi,4.92,29.47,68.23,95,48,2.84,SS,1595528447
Walvis Bay,-22.96,14.51,77.0,16,0,2.24,NA,1595528447
Dingle,11.0,122.67,77.05,85,90,3.27,PH,1595528447
Beian,63.66,9.57,55.0,71,40,12.75,NO,1595528447
Inírida,3.87,-67.92,79.38,92,72,4.7,CO,1595528447
Port Blair,11.67,92.75,82.49,74,76,5.17,IN,1595528447
Talakan,50.32,130.37,61.65,94,89,4.47,RU,1595528447
Soeng Sang,14.43,102.46,76.05,87,97,4.83,TH,1595528448
Lingao,19.91,109.69,81.41,79,18,7.43,CN,1595528448
Chacabuco,-34.64,-60.47,48.99,93,100,11.01,AR,1595528328
Zelenets,61.88,50.75,66.2,77,20,2.24,RU,1595528448
Marion,39.77,-86.16,84.99,58,40,10.29,US,1595528287
Northallerton,54.34,-1.43,66.2,77,93,9.17,GB,1595528448
Okha,53.57,142.95,43.93,93,11,0.89,RU,1595528448
Sakhnovshchyna,49.15,35.87,60.91,65,46,5.01,UA,1595528448
Kumul,42.8,93.45,78.62,38,81,2.51,CN,1595528244
Zhuhai,22.28,113.57,87.01,83,20,5.82,CN,1595528448
Stephenville,32.22,-98.2,93.2,41,40,5.82,US,1595528300
Hvide Sande,56.0,8.13,57.99,76,100,3.0,DK,1595528449
Kharp,66.8,65.81,52.07,72,31,4.0,RU,1595528449
Alofi,-19.06,-169.92,73.4,100,70,8.05,NU,1595528449
Merauke,-8.47,140.33,75.78,84,0,13.42,ID,1595528449
Buraidah,26.33,43.98,104.0,16,20,9.17,SA,1595528449
Sal Rei,16.18,-22.92,82.4,69,75,14.99,CV,1595528449
Mil'kovo,54.72,158.62,46.89,86,95,1.68,RU,1595528449
Yenangyaung,20.47,94.88,80.35,76,100,8.86,MM,1595528449
Valparaíso,-33.04,-71.63,57.2,62,75,4.7,CL,1595528449
Kasongo-Lunda,-6.47,16.82,79.97,23,0,3.04,CD,1595528449
Porbandar,21.64,69.61,84.58,80,89,12.44,IN,1595528450
Mossamedes,-15.2,12.15,69.64,68,0,4.85,AO,1595528450
Katobu,-4.94,122.53,70.9,92,27,2.89,ID,1595528450
Yelanskiy,56.84,62.5,60.21,66,79,10.78,RU,1595528450
Kolondiéba,11.09,-6.89,86.36,62,46,2.84,ML,1595528450
Igis,46.95,9.57,64.99,86,96,1.01,CH,1595528450
Batagay,67.63,134.63,63.91,55,50,3.36,RU,1595528450
Pacific Grove,36.62,-121.92,62.6,72,90,6.93,US,1595528450
Kralendijk,12.15,-68.27,91.4,52,100,16.11,BQ,1595528450
Mo i Rana,66.31,14.14,51.8,81,75,2.24,NO,1595528451
Freeport,40.66,-73.58,88.0,69,1,9.17,US,1595528426
Buala,-8.14,159.59,80.58,81,99,11.52,SB,1595528451
Ust'-Uda,54.17,103.03,55.2,83,4,1.92,RU,1595528451
São Filipe,14.9,-24.5,78.84,85,74,5.79,CV,1595528451
Hobyo,5.35,48.53,77.79,70,86,29.53,SO,1595528451
Sijunjung,-0.69,100.95,73.49,90,100,1.14,ID,1595528451
Ajdabiya,30.76,20.23,76.87,78,0,16.98,LY,1595528451
Hambantota,6.12,81.12,80.78,80,79,11.63,LK,1595528451
Gdynia,54.52,18.53,66.0,55,0,11.41,PL,1595528347
Phan Thiet,10.93,108.1,76.68,85,100,4.79,VN,1595528388
Meadow Lake,34.8,-106.54,78.01,56,75,5.82,US,1595528452
Yorosso,12.35,-4.78,87.17,60,44,0.76,ML,1595528452
Kadyy,57.79,43.19,55.92,94,0,6.64,RU,1595528452
Buzdyak,54.58,54.55,60.12,97,100,5.91,RU,1595528452
Bilibino,68.05,166.44,66.0,50,9,4.32,RU,1595528452
Vilkija,55.05,23.58,60.8,63,20,6.93,LT,1595528452
Cabra,37.47,-4.44,99.0,23,0,3.0,ES,1595528452
Ovsyanka,55.96,92.55,51.8,93,40,2.24,RU,1595528452
Xichang,27.9,102.26,67.3,80,100,2.46,CN,1595528452
Margate,51.38,1.39,70.0,47,98,4.0,GB,1595528453
Alyangula,-13.85,136.42,62.6,93,40,7.94,AU,1595528453
Ust'-Tarka,55.57,75.7,51.82,77,0,4.56,RU,1595528453
Aktobe,50.28,57.21,64.4,88,100,6.71,KZ,1595528453
Pauini,-7.71,-66.98,98.02,29,42,1.5,BR,1595528453
Tual,-5.67,132.75,79.03,81,24,18.57,ID,1595528453
Chapais,49.78,-74.85,73.4,46,75,4.7,CA,1595528453
Burnie,-41.07,145.92,39.99,79,86,1.01,AU,1595528453
Erdenet,49.03,104.08,54.46,92,100,3.24,MN,1595528453
Kayerkan,69.35,87.76,46.4,75,54,26.84,RU,1595528454
Teacapan,22.55,-105.75,85.93,65,99,7.78,MX,1595528454
Neenah,44.19,-88.46,73.4,60,75,4.7,US,1595528368
Krasnoarmeysk,51.02,45.7,70.0,29,0,5.01,RU,1595528454
Kiryat Gat,31.61,34.76,82.99,61,0,4.03,IL,1595528161
Abu Samrah,35.3,37.18,83.79,41,0,12.73,SY,1595528454
Caiapônia,-16.96,-51.81,86.43,25,0,5.12,BR,1595528454
Sorong,-0.88,131.25,78.03,86,36,6.76,ID,1595528454
Sanandij,35.31,46.99,78.6,17,0,4.21,IR,1595528454
Bud,39.45,-86.18,84.99,68,77,7.43,US,1595528454
Sumbe,-11.21,13.84,70.68,86,1,7.81,AO,1595528455
Dakar,14.69,-17.44,86.0,79,40,9.17,SN,1595528455
Marang,5.21,103.21,78.8,88,40,2.24,MY,1595528455
Grand Gaube,-20.01,57.66,69.01,60,57,8.99,MU,1595528455
Banda Aceh,5.56,95.32,78.57,76,93,3.98,ID,1595528455
Salekhard,66.53,66.6,52.41,69,28,5.57,RU,1595528455
